# version: e5edf97699b51bdda179ab192eae59a9baa9c249
# t = 8
# 1: x
-0.1995 5.00000407595857e-06 
-0.1985 5.00000411707904e-06 
-0.1975 5.00000420648178e-06 
-0.1965 5.00000435434153e-06 
-0.1955 5.00000457340857e-06 
-0.1945 5.00000487604796e-06 
-0.1935 5.00000527549811e-06 
-0.1925 5.00000579054118e-06 
-0.1915 5.00000644669227e-06 
-0.1905 5.00000727252904e-06 
-0.1895 5.00000829689904e-06 
-0.1885 5.00000955136992e-06 
-0.1875 5.00001107593836e-06 
-0.1865 5.00001292308977e-06 
-0.1855 5.00001515784963e-06 
-0.1845 5.00001785538503e-06 
-0.1835 5.00002109919017e-06 
-0.1825 5.00002498171948e-06 
-0.1815 5.00002960743355e-06 
-0.1805 5.00003509716585e-06 
-0.1795 5.00004159274996e-06 
-0.1785 5.00004926141486e-06 
-0.1775 5.00005829999697e-06 
-0.1765 5.00006893928244e-06 
-0.1755 5.00008144882344e-06 
-0.1745 5.00009614249403e-06 
-0.1735 5.00011338496277e-06 
-0.1725 5.00013359920972e-06 
-0.1715 5.00015727519988e-06 
-0.1705 5.00018497983593e-06 
-0.1695 5.0002173683348e-06 
-0.1685 5.00025519719598e-06 
-0.1675 5.00029933895889e-06 
-0.1665 5.00035079896873e-06 
-0.1655 5.00041073440089e-06 
-0.1645 5.00048047582062e-06 
-0.1635 5.00056155158602e-06 
-0.1625 5.00065571543546e-06 
-0.1615 5.00076497763713e-06 
-0.1605 5.00089164011704e-06 
-0.1595 5.00103833602319e-06 
-0.1585 5.00120807423109e-06 
-0.1575 5.00140428934266e-06 
-0.1565 5.00163089778415e-06 
-0.1555 5.00189236066377e-06 
-0.1545 5.00219375410991e-06 
-0.1535 5.00254084787241e-06 
-0.1525 5.0029401930358e-06 
-0.1515 5.00339921976283e-06 
-0.1505 5.00392634605618e-06 
-0.1495 5.00453109860188e-06 
-0.1485 5.00522424683093e-06 
-0.1475 5.00601795141143e-06 
-0.1465 5.00692592845785e-06 
-0.1455 5.00796363081669e-06 
-0.1445 5.00914844785457e-06 
-0.1435 5.01049992523921e-06 
-0.1425 5.01204000625505e-06 
-0.1415 5.013793296238e-06 
-0.1405 5.01578735174016e-06 
-0.1395 5.01805299603933e-06 
-0.1385 5.02062466259371e-06 
-0.1375 5.02354076798701e-06 
-0.1365 5.02684411582778e-06 
-0.1355 5.03058233293033e-06 
-0.1345 5.03480833892211e-06 
-0.1335 5.03958085017345e-06 
-0.1325 5.044964918625e-06 
-0.1315 5.05103250568273e-06 
