# version: 2090562afef8a9a3ad68d36a3f8d7bf7fc6b24e7
# t = 5
# 1: x
-0.1995 5.00000255129626e-06 
-0.1985 5.00000259310101e-06 
-0.1975 5.00000268572491e-06 
-0.1965 5.0000028410336e-06 
-0.1955 5.00000306890201e-06 
-0.1945 5.00000337907516e-06 
-0.1935 5.00000378774721e-06 
-0.1925 5.00000431960141e-06 
-0.1915 5.00000500354321e-06 
-0.1905 5.00000586772238e-06 
-0.1895 5.00000693842149e-06 
-0.1885 5.00000824270701e-06 
-0.1875 5.00000981229666e-06 
-0.1865 5.00001168666515e-06 
-0.1855 5.00001391492811e-06 
-0.1845 5.0000165569749e-06 
-0.1835 5.00001968446666e-06 
-0.1825 5.00002338209404e-06 
-0.1815 5.00002774925008e-06 
-0.1805 5.00003290214838e-06 
-0.1795 5.00003897638195e-06 
-0.1785 5.00004612992969e-06 
-0.1775 5.00005454663924e-06 
-0.1765 5.00006444023574e-06 
-0.1755 5.0000760589203e-06 
-0.1745 5.00008969063558e-06 
-0.1735 5.0001056690867e-06 
-0.1725 5.00012438061737e-06 
-0.1715 5.00014627205331e-06 
-0.1705 5.00017185963865e-06 
-0.1695 5.00020173920559e-06 
-0.1685 5.00023659773363e-06 
-0.1675 5.00027722647246e-06 
-0.1665 5.0003245358227e-06 
-0.1655 5.00037957218898e-06 
-0.1645 5.00044353704387e-06 
-0.1635 5.00051780846631e-06 
-0.1625 5.00060396544571e-06 
-0.1615 5.00070381527263e-06 
-0.1605 5.00081942436963e-06 
-0.1595 5.0009531529503e-06 
-0.1585 5.00110769393198e-06 
-0.1575 5.00128611656815e-06 
-0.1565 5.00149191530876e-06 
-0.1555 5.0017290644431e-06 
-0.1545 5.00200207912737e-06 
-0.1535 5.00231608345068e-06 
-0.1525 5.0026768862471e-06 
-0.1515 5.00309106541621e-06 
-0.1505 5.00356606157428e-06 
-0.1495 5.00411028191717e-06 
-0.1485 5.00473321523744e-06 
-0.1475 5.00544555910075e-06 
-0.1465 5.00625936024852e-06 
-0.1455 5.00718816935491e-06 
-0.1445 5.00824721132598e-06 
-0.1435 5.00945357238549e-06 
-0.1425 5.01082640524192e-06 
-0.1415 5.01238715367813e-06 
-0.1405 5.01415979793909e-06 
-0.1395 5.01617112232003e-06 
-0.1385 5.01845100636566e-06 
-0.1375 5.02103274108657e-06 
-0.1365 5.02395337156825e-06 
-0.1355 5.02725406729615e-06 
-0.1345 5.0309805214345e-06 
-0.1335 5.03518338017695e-06 
-0.1325 5.03991870312528e-06 
-0.1315 5.04524845544299e-06 
-0.1305 5.05124103226668e-06 
-0.1295 5.05797181553268e-06 
-0.1285 5.06552376298322e-06 
-0.1275 5.07398802864759e-06 
-0.1265 5.08346461354334e-06 
-0.1255 5.09406304470543e-06 
-0.1245 5.10590307992163e-06 
-0.1235 5.11911543472979e-06 
-0.1225 5.13384252731501e-06 
-0.1215 5.15023923593734e-06 
-0.1205 5.16847366242991e-06 
-0.1195 5.18872789414589e-06 
-0.1185 5.21119875552141e-06 
-0.1175 5.23609853918194e-06 
-0.1165 5.26365570529069e-06 
